q,max_angle_error_deg,mean_angle_error_deg,sigma_q_over_sigma_1,node_modulus_min,node_modulus_max
187,2.129918925675156e-07,7.538382815182744e-09,1.547437450635251e-07,0.999999996913305,1.0000000035354144
188,5.803396823012008e-05,2.5153098429192673e-06,8.577211382363804e-09,0.9999991651688569,1.000000943784067
189,5.679667771119057e-05,2.4108829597943596e-06,8.315195661779977e-09,0.9999991894364436,1.0000008749328833
190,5.8402677495905664e-05,2.4649396115683508e-06,7.649948427891022e-09,0.9999991653401902,1.0000008800998406
191,6.358021425967308e-05,2.6970212053626766e-06,7.568724164515333e-09,0.9999990975601644,1.0000009012335662
192,9.63219358141032e-05,4.113354052207724e-06,4.9569436303364366e-09,0.9999986012074917,1.0000015020804465
193,0.00010187235903913461,4.739271841558481e-06,3.534757847391257e-09,0.9999983088594546,1.0000019266601432
194,0.00010814414275728268,6.437534248705157e-06,2.305551574459591e-09,0.9999986794851753,1.000001126111283
195,6.340768885593207e-05,3.0603835981262265e-06,2.272199770871774e-09,0.9999988292059921,1.0000009902929226
196,0.0036532543550151786,0.00014192628420042452,1.246901258637721e-10,0.999940417466684,1.0000508457454294
197,0.03835642697771391,0.001713383088313072,3.6019792355026777e-11,0.9994203216563385,1.0006963963106341
198,1.6466703339765445,0.08098759499022681,3.9728546188874945e-13,0.8231025967631437,1.2443025086472341
199,16.999999999999943,0.7480678594688808,8.026846693223554e-15,0.85809271312894,1.432105177626947
200,122.49999999999983,1.4847937020450792,4.112578323255917e-15,0.9325442987694914,1.4860296625898903
