source_x,element,p,method,trace_error,volume_L2_error,gram_cond,rank,angle_error_deg,esprit_hankel_cond,nfev
0.15,1,9,equispaced,0.6354646018827255,0.548150412711833,2.105613834636554,9,,,0
0.15,1,11,ESPRIT+VP,0.008814492908815332,0.003979925138293941,8546429014.113466,9,0.0007678613104715685,10268.343099416472,32
0.15,1,11,equispaced,0.5167992107626319,0.3336310733247072,2.732977167722504,11,,,0
0.15,2,1,ESPRIT+VP,0.6425412931625143,0.5359887258300555,1.0,1,7.401786854701896e-11,1.0,8
0.15,2,1,equispaced,0.6451080913430695,0.5382324318319062,1.0,1,,,0
0.15,2,3,ESPRIT+VP,0.633376744382541,0.555055416582645,1.0334118312876182,3,1.4413112277822987e-06,12.275189787351362,22
0.15,2,3,equispaced,0.6423264367816793,0.5366529976329691,1.0108711119532559,3,,,0
0.15,2,5,ESPRIT+VP,0.2669000808973322,0.23755890743341238,5.392527884033776,5,2.551656790277386e-05,12.68423166630063,37
0.15,2,5,equispaced,0.6345101951066077,0.5572909479027061,1.2867560017150952,5,,,0
0.15,2,7,ESPRIT+VP,0.09046700782286919,0.08267065766431043,961282988639.6987,7,15.627910521682164,14.629842865609653,182
0.15,2,7,equispaced,0.5931514821918669,0.5943896345419232,1.36171280439832,7,,,0
0.15,2,9,ESPRIT+VP,0.007689718985154708,0.0035356061734751793,1535388.1883032315,7,0.0009443926190866791,134.92255697971237,38
0.15,2,9,equispaced,0.5821534527234073,0.484785712194112,2.105613834636553,9,,,0
0.15,2,11,ESPRIT+VP,0.003303362927685642,0.001579420389034938,120808160328.94862,9,0.044565259508791887,5936.227586545522,30
0.15,2,11,equispaced,0.47045786836711867,0.2955086976252943,2.7329771677225057,11,,,0
0.15,3,1,ESPRIT+VP,0.6002339446806596,0.4976812316461437,1.0,1,3.663998993045972e-12,1.0,8
0.15,3,1,equispaced,0.6069382962118361,0.5005605961037027,1.0,1,,,0
0.15,3,3,ESPRIT+VP,0.5923883186733664,0.5118284617261778,1.040670863683714,3,8.474717969834919e-07,4.370772354667081,16
0.15,3,3,equispaced,0.5993741344413746,0.4986169060586457,1.0108711119532554,3,,,0
0.15,3,5,ESPRIT+VP,0.23850575953445666,0.18588494142770406,7.711170479330523,5,1.1989609110168737,4.375327548308557,29
0.15,3,5,equispaced,0.5943955528424968,0.5143370252926847,1.2867560017150956,5,,,0
0.15,3,7,ESPRIT+VP,0.0753655227964244,0.0682440804422769,1027080.5069962472,6,18.899579636289285,6.845654463860673,438
0.15,3,7,equispaced,0.5566584739603271,0.5529958862080276,1.36171280439832,7,,,0
0.15,3,9,ESPRIT+VP,0.0047429563077733125,0.002226681558089978,978064.1659397288,7,1.9687349340226146e-05,107.54372489186572,40
0.15,3,9,equispaced,0.5502398002429079,0.4491710455375261,2.1056138346365527,9,,,0
0.15,3,11,ESPRIT+VP,0.001918738342650949,0.0009146516939639658,2480764990.237092,9,0.13498635270126288,5431.879897460488,37
0.15,3,11,equispaced,0.4438354676964516,0.27487977556215487,2.7329771677225074,11,,,0
0.15,4,1,ESPRIT+VP,0.6002339446806596,0.4976812316435738,1.0,1,3.815953173507572e-09,1.0,5
0.15,4,1,equispaced,0.6069382962118361,0.5005605961037024,1.0,1,,,0
0.15,4,3,ESPRIT+VP,0.5923883186733673,0.5118284590458255,1.0406708667586286,3,9.1065196362008e-07,4.37077235466708,16
0.15,4,3,equispaced,0.5993741344413746,0.4986169060586451,1.010871111953256,3,,,0
0.15,4,5,ESPRIT+VP,0.23850575953445496,0.18862524024536415,7.711170155103991,5,1.198961260881273,4.375327548308556,29
0.15,4,5,equispaced,0.5943955528424968,0.5143370252926842,1.2867560017150945,5,,,0
0.15,4,7,ESPRIT+VP,0.07536552407195891,0.06886003029590372,37053489376.09246,7,18.899592823557676,6.845654463860677,434
0.15,4,7,equispaced,0.5566584739603272,0.5529958862080273,1.3617128043983204,7,,,0
0.15,4,9,ESPRIT+VP,0.004742985445685057,0.0022262993523361383,317518805575.3639,8,0.00034495552458924334,107.54372489186582,48
0.15,4,9,equispaced,0.5502398002429079,0.4491710455375252,2.105613834636554,9,,,0
0.15,4,11,ESPRIT+VP,0.0019172251998257038,0.0009111566282502693,14671950101.702085,9,0.021761418640220038,5431.879897461166,30
0.15,4,11,equispaced,0.443835467696451,0.2748797755621546,2.7329771677225034,11,,,0
0.15,5,1,ESPRIT+VP,0.6425412931625143,0.5359887258209295,1.0,1,5.498186711189804e-09,1.0,5
0.15,5,1,equispaced,0.6451080913430695,0.5382324318319062,1.0,1,,,0
