source_x,element,p,method,trace_error,volume_L2_error,gram_cond,rank,principal_angle_error_deg,half_aperture_deg
0.0,3,13,ESPRIT-centered fan,0.0072013461948533496,0.0033512246431191012,555330339.2223765,13,0.0,47.72147963425042
0.0,3,13,equispaced,0.3671249972295418,0.0909551522053536,2.277983180040371,13,,
0.0,3,17,ESPRIT-centered fan,0.0017761974194102296,0.00074857967135451,252057084381.18964,16,0.0,51.65925906824157
0.0,3,17,equispaced,0.1187878452409586,0.007140785815074252,4.035797584445699,17,,
0.0,3,21,ESPRIT-centered fan,0.0004790495340570167,0.00018739555834422028,792731251206.0703,17,0.0,52.22700920430532
0.0,3,21,equispaced,0.025213870982052286,0.0009928339084667097,86.27377086438128,21,,
0.0,4,1,ESPRIT-centered fan,0.688558939049134,0.5710845018092278,1.0,1,2.5444437451708134e-14,0.0
0.0,4,1,equispaced,0.6885589390491341,0.5710845018092278,1.0,1,,
0.0,4,3,ESPRIT-centered fan,0.333416265848433,0.20426325509602192,3.225602980181739,3,2.5444437451708134e-14,16.765765705506425
0.0,4,3,equispaced,0.6873066647293969,0.5724727604759914,1.0108711119532559,3,,
0.0,4,5,ESPRIT-centered fan,0.15216852581680507,0.09284621892060095,71.00399045826899,5,2.5444437451708134e-14,26.300742297705636
0.0,4,5,equispaced,0.6780639449509471,0.596534743147374,1.2867560017150945,5,,
0.0,4,7,ESPRIT-centered fan,0.06952874233830003,0.04164410962538708,2516.4536461892253,7,2.5444437451708134e-14,33.46950526350643
0.0,4,7,equispaced,0.6313493137047393,0.6343736537659609,1.3617128043983229,7,,
0.0,4,9,ESPRIT-centered fan,0.03207243121655224,0.01767482109440779,109170.02620471487,9,2.5444437451708134e-14,39.408368514941735
0.0,4,9,equispaced,0.6146531065161952,0.5179078630772468,2.1056138346365536,9,,
0.0,4,13,ESPRIT-centered fan,0.00720134619485019,0.0033512246437871394,555330375.6498215,13,2.5444437451708134e-14,47.72147956574441
